,State,Abbreviation,total_vaccinations
0,Alabama,AL,959550589.0
1,Alaska,AK,185248684.0
2,Arizona,AZ,1816053090.0
3,Arkansas,AR,654472240.0
4,California,CA,11240324758.0
5,Colorado,CO,1624360342.0
6,Connecticut,CT,1150795723.0
7,Delaware,DE,265520231.0
8,District of Columbia,DC,220164416.0
9,Florida,FL,5771236205.0
10,Georgia,GA,2211628726.0
11,Hawaii,HI,415514801.0
12,Idaho,ID,361154809.0
13,Illinois,IL,2241269957.0
14,Indiana,IN,1527506963.0
15,Iowa,IA,807327914.0
16,Kansas,KS,694834314.0
17,Kentucky,KY,821633252.0
18,Louisiana,LA,983972615.0
19,Maine,ME,418377581.0
20,Montana,MT,255882894.0
21,Nebraska,NE,495674449.0
22,Nevada,NV,754502607.0
23,New Hampshire,NH,357323543.0
24,New Jersey,NJ,2444303185.0
25,New Mexico,NM,469114525.0
26,North Carolina,NC,2511493589.0
27,North Dakota,ND,173868123.0
28,Ohio,OH,2762282961.0
29,Oklahoma,OK,933810862.0
30,Oregon,OR,1168971802.0
31,Maryland,MD,1727467435.0
32,Massachusetts,MA,2241849162.0
33,Michigan,MI,2398666807.0
34,Minnesota,MN,1546010578.0
35,Mississippi,MS,587588551.0
36,Missouri,MO,1406973499.0
37,Pennsylvania,PA,2776312131.0
38,Rhode Island,RI,330982250.0
39,South Carolina,SC,1161518892.0
40,South Dakota,SD,213747466.0
41,Tennessee,TN,1500378869.0
42,Texas,TX,6803177574.0
43,Utah,UT,761452909.0
44,Vermont,VT,176320842.0
45,Virginia,VA,2421381967.0
46,Washington,WA,1908996497.0
47,West Virginia,WV,384715584.0
48,Wisconsin,WI,1575730988.0
49,Wyoming,WY,119824489.0
